,DEPTH_M,DIAMETER_MM,LENGTH_M,JOB_COST,JOB_TYPE_Replace,MATERIAL_CI,MATERIAL_ST
43,2.33,50,27.87,1681.0011670000001,0,1,0
44,1.83,125,31.17,2574.895094,0,0,1
45,1.71,63,40.21,1271.527153,0,0,0
46,2.23,125,30.28,3328.775691,0,1,0
47,2.65,90,38.78,3817.6822420000003,0,0,0
48,2.31,63,10.38,1348.4385730000001,0,1,0
49,2.86,90,29.26,3185.364177,0,0,0
50,2.55,125,24.65,3640.0135200000004,0,0,1
51,2.8,125,16.85,3816.0172979999998,0,1,0
52,3.71,90,14.9,3973.8753490000004,0,0,0
53,3.17,63,43.28,3065.5657109999997,0,1,0
54,2.96,90,39.16,3901.683935,0,0,0
55,1.88,90,25.44,2186.319041,0,0,0
56,2.0,250,23.46,6212.334878000001,0,1,0
57,3.97,125,40.65,6561.848726,0,0,0
58,3.36,50,27.45,2697.726414,0,0,0
59,1.71,63,14.43,1013.431393,0,0,1
60,2.82,125,15.81,4035.387073,0,0,0
61,4.54,125,19.15,5447.0157039999995,0,0,0
62,2.26,125,36.64,3849.921722,0,0,0
63,1.75,63,11.47,891.0199518999999,0,0,0
64,2.49,200,28.33,6053.926375999999,0,0,0
65,2.76,125,29.34,4613.793073,0,0,1
66,1.96,450,19.0,11026.78666,0,1,0
67,3.15,90,21.6,3727.726401,0,0,0
68,2.65,315,16.23,7442.248788,0,1,0
69,2.47,315,18.9,8409.4364,0,0,0
70,1.7,63,39.59,1639.8353619999998,0,0,0
71,3.01,200,12.36,5804.695875,0,0,0
72,1.79,200,25.75,4884.701554,0,0,0
73,2.25,90,29.05,2477.908161,0,0,1
74,1.65,125,23.99,2761.603565,0,0,0
75,2.04,50,38.02,1423.4764,0,0,1
76,2.72,315,32.56,11409.644629999999,0,1,0
77,4.12,63,36.08,3655.776264,0,0,0
78,2.41,90,21.42,2897.160585,0,0,1
79,2.1,90,26.58,2756.379191,0,0,0
80,2.55,200,17.42,5080.431901,0,0,1
81,2.87,90,19.93,2937.5334190000003,0,0,0
82,2.72,90,41.21,3348.436956,0,0,1
83,2.43,125,17.25,3172.1207280000003,0,0,0
84,2.09,90,36.23,2747.951648,0,0,0
85,3.48,125,22.51,4642.205952,0,0,0
86,1.7,63,11.25,822.2379694,0,0,0
87,2.08,125,21.02,3693.1969649999996,0,0,0
88,3.53,90,35.19,4650.6117460000005,0,1,0
89,2.03,90,22.32,2250.277668,0,0,0
90,4.92,63,13.1,2707.269625,0,0,0
91,2.66,63,31.16,1959.895569,0,1,0
92,1.99,250,26.57,6242.797759,0,0,0
93,1.7,200,22.25,3769.9179289999997,0,0,1
94,2.13,63,37.15,2208.024307,0,0,0
95,2.68,200,23.2,6906.375456000001,0,0,0
96,2.27,50,37.32,1744.345308,0,0,1
97,2.97,50,36.61,2276.401655,0,0,1
98,2.43,63,26.06,2213.2718809999997,0,0,0
99,3.49,125,27.57,6372.5430289999995,0,0,1
100,1.6,250,11.93,3897.504414,0,1,0
101,1.7,90,17.4,1604.0156949999998,0,0,0
102,3.48,90,15.36,3198.390813,0,0,0
103,4.42,125,21.55,6891.9376409999995,0,0,0
104,2.02,90,29.94,2795.1848210000003,0,0,0
105,3.74,250,10.92,8019.622404000001,0,0,1
106,1.47,63,12.46,815.3603227000001,0,0,0
107,2.67,50,11.65,921.690528,0,0,0
108,2.59,63,32.33,2200.423343,0,0,0
109,2.5,315,10.19,6384.713993,0,1,0
110,1.6,63,25.96,1354.812324,0,0,0
111,2.39,63,14.45,1639.506366,0,0,0
112,1.65,125,9.86,1791.6394739999998,0,0,1
113,2.58,63,39.13,2252.460982,0,1,0
114,2.39,125,23.32,3781.219356,0,0,0
115,1.67,63,37.21,1400.52674,0,0,0
116,2.26,315,20.92,7918.301562000001,0,0,1
117,2.17,63,29.85,2161.316708,0,0,0
118,4.38,63,24.96,3663.658064,0,1,0
119,3.92,90,43.66,5460.524326,0,0,0
120,4.61,125,29.91,6827.564231,0,0,0
121,3.49,200,33.54,11299.95079,0,0,1
122,2.71,250,20.68,7997.802387000001,0,0,0
123,2.07,90,20.0,2014.203396,0,1,0
124,1.75,315,21.84,6722.529394,0,0,1
125,3.07,90,33.28,4150.377332,0,0,0
126,2.02,63,37.21,1569.410016,0,1,0
127,2.39,90,20.43,2601.278774,0,0,0
128,1.6,90,11.57,1187.753498,0,0,0
129,3.22,63,19.3,2017.1425199999999,0,1,0
130,2.42,315,20.52,9615.222248,0,0,0
131,2.38,125,42.17,4325.957674,0,0,0
132,2.45,90,18.01,2475.6428140000003,0,0,0
133,3.69,125,21.06,6163.151742,0,1,0
134,1.81,200,18.19,4348.115422999999,0,1,0
135,1.94,315,25.56,7723.254531999999,0,0,1
136,4.35,250,11.53,10307.53519,0,1,0
137,2.4,200,26.27,6374.294739,0,1,0
138,1.8,90,24.13,2255.966514,0,0,0
139,2.33,200,23.07,5916.28406,0,0,0
140,3.8,125,18.87,5736.854792,0,0,1
141,2.28,63,20.84,1806.675248,0,1,0
142,1.66,200,20.93,4111.012043,0,0,0
143,4.09,200,40.61,13858.179880000002,0,0,1
144,3.37,125,26.93,6237.44155,0,0,0
145,2.0,63,19.49,1409.259865,0,1,0
146,2.88,125,24.64,4287.894724,0,1,0
147,3.39,90,46.73,4712.860215,0,0,0
148,3.75,125,16.46,4591.082736,0,0,0
149,3.89,50,19.62,2586.649687,0,0,1
150,2.97,125,16.07,3968.62556,0,1,0
151,1.71,250,11.98,4184.29991,0,0,0
152,2.47,90,15.47,2568.190438,0,1,0
153,2.08,90,36.15,2952.718039,0,0,1
154,3.1,125,10.77,4264.188434000001,0,1,0
155,1.13,125,14.14,1307.667892,0,0,1
156,3.64,50,20.93,1673.247423,0,0,0
157,2.09,90,37.19,2821.08159,0,0,0
158,1.9,200,20.52,4766.289062,0,0,0
159,4.11,90,30.23,5737.91385,0,1,0
160,2.49,315,42.75,13629.45481,0,1,0
161,2.73,63,10.38,1168.481822,0,1,0
162,4.7,63,33.64,4300.29088,0,0,1
163,2.83,90,14.71,2393.019104,0,0,0
164,1.38,90,16.67,1054.22986,0,1,0
165,2.23,90,25.27,2005.863925,0,0,0
166,1.67,63,16.56,1091.071226,0,1,0
167,2.75,450,22.97,12846.099629999999,0,0,0
168,2.61,90,40.37,3747.1893219999997,0,1,0
169,2.72,200,23.51,7506.117109000001,0,0,1
170,1.51,50,21.26,1017.352789,0,0,0
171,4.43,50,20.6,2816.105034,0,1,0
172,1.65,90,17.82,1508.586733,0,0,0
173,1.73,90,29.29,2049.0865289999997,0,0,0
174,3.23,315,11.52,8727.865972,0,0,1
175,1.89,90,21.14,2488.0156420000003,0,0,1
176,3.83,90,11.68,2886.763237,0,1,0
177,1.98,315,25.01,8496.93393,0,0,1
178,3.18,90,18.66,2314.937221,0,1,0
179,2.63,125,38.68,4879.750822999999,0,0,0
180,2.52,125,37.49,5289.463188000001,0,1,0
181,1.27,200,32.88,3344.552068,0,0,0
182,3.51,63,16.28,2481.981995,0,0,0
183,2.68,125,30.95,5442.127833,0,1,0
184,2.46,90,38.25,3530.026558,0,1,0
185,2.87,90,38.78,4443.384596,0,0,1
186,4.54,90,23.9,4857.539691,0,0,1
187,2.03,63,19.83,1434.6684400000001,0,0,0
188,3.5,125,17.66,4718.387314,0,0,0
189,3.68,90,17.66,4094.0127469999998,0,0,0
190,2.99,125,24.92,3527.1998380000005,0,0,0
191,1.21,90,33.94,1373.790693,0,1,0
192,4.4,90,33.66,6289.822338,0,1,0
193,1.5,125,23.38,2261.692083,0,1,0
194,2.21,200,36.92,6622.558375,0,0,1
195,3.64,200,32.27,9705.181122,0,0,0
196,2.82,90,37.44,3806.015626,0,0,0
197,2.72,90,18.29,3176.088032,0,0,1
198,2.18,125,36.69,4374.663279,0,0,0
199,2.65,50,33.24,1921.5946059999999,0,1,0
200,1.99,63,21.86,1333.6985619999998,0,0,0
201,3.98,63,15.06,2850.465982,0,1,0
202,3.98,250,21.88,10646.59797,0,0,0
203,3.6,200,18.24,7814.618982999999,0,0,0
204,1.86,63,19.96,1442.117573,0,0,0
205,3.72,125,27.79,5914.16232,0,1,0
206,2.4,125,24.54,3427.332531,0,0,0
207,3.32,90,42.61,4527.353121,0,0,0
208,1.65,63,25.35,1060.918533,0,0,0
209,3.06,90,39.34,4195.164325,0,0,0
210,3.45,63,18.55,2453.048107,0,0,0
211,1.86,90,31.25,2273.290497,0,0,1
212,3.31,200,15.97,7201.491154,0,0,0
213,3.27,63,24.16,2707.7942989999997,0,0,1
214,3.18,63,9.93,1853.594543,0,0,1
215,3.3,63,37.58,3136.806133,0,1,0
216,1.47,250,29.91,4593.143334,0,0,0
217,2.57,90,10.91,1826.309836,0,1,0
218,1.85,90,22.97,1865.78915,0,0,0
219,3.92,50,26.13,2508.499216,0,1,0
220,1.68,250,11.73,3834.6487020000004,0,0,1
221,2.33,90,14.95,2408.192195,0,0,0
222,2.57,50,28.77,1614.5880769999999,0,0,1
223,2.49,125,17.35,3903.503875,0,0,0
224,2.08,90,32.15,3392.9984799999997,0,0,0
225,3.64,63,21.89,2900.408727,0,0,1
226,2.02,90,27.7,2742.1445129999997,0,1,0
227,2.82,90,19.39,3017.1027649999996,0,0,1
228,3.34,63,27.69,2575.914264,0,0,1
229,2.63,200,19.4,6270.702503,0,0,0
230,3.53,90,22.57,3633.0309479999996,0,0,0
231,4.37,125,19.92,6648.409638,0,1,0
232,2.64,90,24.87,3295.134846,0,0,0
233,2.74,200,23.29,6492.208264,0,1,0
234,2.71,63,18.36,1786.935891,0,0,0
235,1.86,450,13.7,8255.403811,0,0,0
236,3.53,50,23.63,2224.2065239999997,0,0,0
237,2.62,90,25.73,2674.160901,0,0,0
238,2.19,63,17.87,1264.56757,0,0,0
239,3.46,90,17.59,3188.755902,0,0,1
240,4.1,200,14.5,8284.52425,0,0,0
241,3.79,90,27.88,5087.755979,0,0,0
242,2.18,50,13.4,1121.621224,0,0,0
243,1.96,90,14.68,1770.490078,0,0,1
244,2.6,50,35.81,2152.0941989999997,0,1,0
245,1.67,125,32.92,3281.594975,0,1,0
246,2.82,125,34.28,4883.421385000001,0,0,1
247,1.51,200,17.18,3090.549688,0,0,0
248,4.19,200,24.95,10658.44228,0,1,0
249,1.76,63,36.95,1699.7700670000002,0,0,0
250,2.5,125,36.45,4714.088203,0,0,0
251,2.39,250,25.81,9218.893207,0,0,0
252,1.67,250,12.61,3513.780297,0,1,0
253,3.25,125,30.76,5123.902499,0,1,0
254,3.17,315,17.71,13849.460130000001,0,0,1
255,1.83,125,21.32,2214.654579,0,0,0
256,3.23,200,24.74,7747.174897,0,0,0
257,2.7,63,24.58,2157.607134,0,0,0
258,2.06,200,12.97,3491.894472,0,0,0
259,3.96,50,16.46,2256.696421,0,0,0
260,3.02,90,42.27,4299.244572,0,0,0
261,1.86,125,15.68,2569.6103160000002,0,0,0
262,1.37,63,23.1,1133.4545560000001,0,1,0
263,1.75,63,17.0,985.2056717,0,0,0
264,2.83,125,29.65,4536.992564,0,1,0
265,2.74,63,22.73,2319.961147,0,0,0
266,3.24,125,16.59,4874.268683,0,1,0
267,3.09,90,25.68,3077.26075,0,1,0
268,3.18,90,18.36,3511.135318,0,1,0
269,4.72,90,22.43,5286.107925,0,0,0
270,1.74,125,20.07,2199.4908379999997,0,0,0
271,2.08,50,21.52,1439.028591,0,1,0
272,1.31,63,14.24,826.6631123,0,0,0
273,2.6,450,9.04,10085.428020000001,0,0,0
274,2.05,125,19.9,3512.6407799999997,0,0,0
275,2.45,200,12.81,4443.709557,0,0,1
276,1.28,63,41.04,1158.875005,0,0,1
277,1.9,90,22.13,2142.9647010000003,0,0,0
278,2.07,250,26.38,7920.354478,0,1,0
279,2.48,90,36.67,3512.893905,0,0,0
280,2.88,50,22.28,1789.1987989999998,0,1,0
281,3.21,90,21.26,3544.551408,0,0,0
282,3.75,125,18.56,4258.758944,0,0,0
283,3.03,315,22.05,11533.6286,0,1,0
284,1.86,90,28.68,1967.711321,0,0,0
285,2.05,200,35.21,5441.423545000001,0,0,0
286,2.24,90,22.64,2237.408553,0,0,1
287,1.2,63,24.14,968.3341437000001,0,0,0
288,2.02,200,25.45,5302.519996,0,0,1
289,2.37,90,23.05,2708.4801420000003,0,1,0
290,3.58,125,13.44,3693.1847299999995,0,0,0
291,2.05,90,17.21,1863.464985,0,1,0
292,1.7,250,32.35,5913.550238000001,0,0,0
293,3.12,90,37.36,4073.358017,0,0,0
294,2.57,63,24.31,2179.3500710000003,0,1,0
295,4.51,125,12.31,4609.596141,0,0,0
296,1.84,90,29.8,2358.249118,0,1,0
297,3.44,90,25.31,4248.972385,0,1,0
298,1.46,90,34.09,2208.643984,0,1,0
299,2.42,200,22.53,5555.975786,0,1,0
300,4.72,125,26.54,6700.098631,0,0,0
301,3.22,63,10.78,1890.79798,0,0,0
302,3.18,50,20.06,2088.1725969999998,0,0,1
303,1.44,90,20.52,1645.658022,0,1,0
304,1.97,50,27.38,1185.872981,0,0,1
306,2.27,63,46.39,2396.6408539999998,0,0,0
307,3.11,90,20.44,3294.46468,0,0,0
308,1.72,63,11.21,1022.4454220000001,0,0,1
309,1.84,90,44.31,2610.336849,0,0,0
310,1.5,63,20.58,1051.64659,0,0,0
311,2.99,63,27.83,2523.1242429999998,0,1,0
312,2.16,63,17.86,1376.75313,0,0,0
313,2.78,315,31.71,11290.741970000001,0,0,0
314,2.53,90,25.25,2900.306432,0,1,0
315,1.39,63,25.37,1066.642807,0,1,0
316,2.68,63,27.61,1914.1870809999998,0,0,0
317,2.47,90,15.07,2310.457217,0,1,0
318,3.81,63,24.74,3710.28677,0,1,0
319,2.82,90,24.12,3856.1989200000003,0,0,0
320,2.04,200,26.6,6418.028852,0,0,0
321,2.6,90,40.49,3062.350541,0,1,0
322,1.72,63,29.34,1658.80125,0,0,0
323,1.64,90,20.36,1497.936302,0,0,0
324,2.93,250,34.29,10984.07655,0,0,0
325,3.06,90,21.61,3333.0987809999997,0,0,0
326,2.96,63,40.66,3133.07815,0,0,0
327,2.81,63,17.43,1823.461998,0,0,0
328,2.69,315,16.69,9622.867838,0,1,0
329,2.46,125,13.49,2865.475966,0,0,0
330,3.89,90,31.88,4838.91629,0,0,1
331,2.62,50,11.5,1192.248223,0,0,0
332,1.52,90,13.69,1373.262853,0,0,0
333,2.23,250,22.9,6016.255938,0,0,0
334,3.29,63,19.84,2481.89496,0,0,0
335,3.53,90,22.27,3282.3780920000004,0,0,1
336,2.86,90,17.99,2502.1515670000003,0,1,0
337,2.71,250,23.17,7656.785806,0,0,0
338,2.27,200,26.04,6418.458632,0,0,0
339,2.38,315,32.42,10373.61252,0,0,0
340,3.32,200,44.4,10644.52786,0,0,0
341,3.74,63,19.42,2678.433239,0,0,0
342,3.64,90,18.15,3684.259894,0,1,0
343,4.05,63,30.32,2839.259274,0,0,1
344,4.47,200,11.24,8753.713315,0,1,0
345,1.85,63,44.94,1600.40819,0,0,0
346,4.29,125,21.01,6888.0607390000005,0,0,1
347,3.93,90,42.36,5521.086278,0,0,1
348,3.46,125,27.94,5400.489251,0,1,0
349,2.9,90,43.0,4078.5965560000004,0,0,0
350,2.98,63,31.87,2915.421136,0,1,0
351,2.81,63,39.39,2675.272243,0,0,0
352,1.35,200,27.6,3831.02034,0,0,1
353,3.3,250,10.13,8599.753007,0,0,1
354,3.02,125,24.8,4797.811581,0,0,1
355,2.82,200,19.66,6677.184072,0,0,0
356,1.63,63,10.85,775.9911562000001,0,0,1
357,2.39,63,19.4,1601.81311,0,1,0
358,1.0,63,21.48,807.3237118,0,0,1
359,1.94,50,47.36,1608.1523029999998,0,0,0
360,3.07,200,21.06,6537.091444,0,0,0
361,2.45,90,32.95,2509.270762,0,1,0
362,1.83,90,33.39,2713.400333,0,1,0
363,2.2,90,9.5,1501.731294,0,0,0
364,3.13,63,18.04,2248.049552,0,0,0
365,2.49,90,19.92,2859.845021,0,0,1
366,3.77,315,16.91,11308.915990000001,0,0,0
367,1.67,90,20.21,1596.332649,0,0,0
368,2.0,63,26.88,1490.379353,0,0,0
369,2.82,90,28.41,3579.015571,0,1,0
370,2.63,90,22.91,2584.246598,0,1,0
371,1.64,63,12.96,940.8713769999999,0,0,0
372,3.42,200,30.59,9845.573898,0,0,1
373,2.03,90,17.83,1959.964493,0,0,1
374,3.7,125,17.97,6092.918672,0,0,0
375,1.79,63,30.24,1468.598508,0,1,0
376,2.12,125,26.94,3437.42589,0,1,0
377,1.5,125,23.5,2415.156497,0,1,0
378,3.18,63,37.06,3289.602915,0,1,0
379,2.87,50,25.75,1753.27403,0,0,0
380,1.99,50,32.46,1163.792371,0,0,1
381,1.67,125,38.18,3373.1782359999997,0,1,0
382,4.05,200,28.9,10633.3857,0,0,0
383,2.43,90,18.87,2157.835632,0,0,1
384,2.98,200,31.93,9022.444981999999,0,0,1
385,3.33,125,22.46,5204.868777000001,0,0,0
386,4.5,63,23.14,3608.333839,0,0,0
387,2.78,63,43.03,2416.820155,0,1,0
388,3.12,90,11.16,2387.756993,0,1,0
389,4.14,50,13.13,1749.84168,0,0,0
390,1.79,125,18.57,2501.11456,0,0,0
391,2.07,63,19.42,1466.519307,0,0,0
392,3.46,250,20.09,10317.33636,0,0,1
393,1.13,450,23.8,5381.292625,0,0,0
394,2.8,90,30.5,3873.3229539999998,0,0,1
395,3.53,200,23.83,8952.210246999999,0,0,0
396,3.25,50,22.71,2253.921555,0,0,1
397,3.56,315,20.35,12898.91146,0,1,0
398,2.63,315,41.6,13748.139169999999,0,1,0
399,1.09,315,15.67,3529.883053,0,0,0
400,3.24,90,16.73,3331.206956,0,0,0
401,2.14,125,29.3,3682.719071,0,0,1
402,1.73,90,14.46,1760.6043370000002,0,0,0
403,1.31,90,26.66,1843.807146,0,0,1
404,3.34,125,21.49,3569.566305,0,0,0
405,2.74,250,16.6,8488.869478,0,0,0
406,2.83,63,20.78,2150.746618,0,0,0
407,2.56,90,32.41,3588.72595,0,1,0
408,3.07,200,45.66,9106.125779,0,0,0
409,2.49,90,32.99,3400.096944,0,0,0
410,2.49,315,18.5,8629.707568,0,0,0
411,3.01,63,26.79,2377.761414,0,0,1
412,3.26,200,30.36,9875.348263,0,0,1
413,4.05,90,25.59,4054.194739,0,0,0
414,2.05,90,32.67,2662.056673,0,0,1
415,2.48,90,34.55,3215.360711,0,0,0
416,3.06,90,18.76,3266.195078,0,1,0
417,3.9,125,26.3,8020.450384000001,0,1,0
418,3.31,63,26.91,3461.0047240000004,0,0,0
419,3.71,200,31.64,10951.119340000001,0,1,0
420,2.62,63,20.84,2055.270914,0,0,0
421,1.79,50,21.6,1119.631472,0,0,0
422,1.64,200,28.57,4788.0708859999995,0,0,0
423,3.26,125,38.27,6499.345701,0,1,0
424,2.78,250,21.4,8658.092526,0,1,0
425,2.9,200,13.13,5586.630804,0,0,0
426,2.08,63,39.62,2232.055128,0,0,1
427,2.34,50,33.24,1619.136624,0,0,0
428,2.21,125,40.35,4967.351735,0,0,0
429,2.01,90,38.78,2496.485777,0,0,0
430,1.97,250,25.22,6576.230450999999,0,1,0
431,1.72,90,24.9,2028.4751600000002,0,1,0
432,3.77,125,24.08,6922.876807,0,0,0
433,1.79,125,20.58,2233.5770260000004,0,1,0
434,3.24,90,12.84,2995.448991,0,1,0
435,1.73,200,37.92,5119.467499,0,0,1
436,2.04,200,11.06,3184.8288820000002,0,0,1
437,3.42,63,22.33,2857.997965,0,0,0
438,2.72,125,17.54,3360.8133770000004,0,0,0
439,2.9,315,16.92,11054.59036,0,0,1
440,3.9,63,29.25,3315.4832239999996,0,0,0
441,1.17,90,23.84,1246.703111,0,1,0
442,2.43,63,22.79,2133.718676,0,0,0
443,2.5,50,26.29,1664.46558,0,0,1
444,3.37,200,21.67,8133.063926000001,0,1,0
445,3.98,90,21.37,4600.019809,0,0,1
446,2.45,63,25.51,2032.545713,0,0,0
447,3.36,50,17.93,2110.7346780000003,0,0,0
448,3.09,63,15.39,1969.0341059999998,0,0,0
449,2.62,63,36.33,2353.3858760000003,0,1,0
450,2.56,125,29.59,4365.025445,0,0,0
451,2.44,250,38.4,9141.553468,0,0,0
452,1.89,315,40.27,8699.308101,0,0,0
453,2.66,90,15.51,2586.52291,0,1,0
454,2.99,450,18.86,13051.42603,0,1,0
455,2.01,315,22.07,7856.544329,0,1,0
456,3.57,50,20.39,2247.204138,0,0,0
457,3.3,90,24.74,3822.8607840000004,0,1,0
458,2.48,63,31.47,2098.885952,0,1,0
459,4.32,90,37.4,5821.503106,0,0,0
460,2.09,63,29.97,1893.9556129999999,0,0,1
461,3.3,63,20.48,2379.700058,0,0,0
462,2.48,90,36.37,3762.0627219999997,0,1,0
463,2.53,63,15.29,1510.108193,0,0,0
464,2.97,50,20.91,1659.317375,0,0,0
465,1.63,63,10.94,934.3549661000001,0,1,0
466,2.41,90,10.88,2173.967086,0,1,0
467,1.7,90,46.77,2351.5392890000003,0,0,0
468,1.32,63,11.87,679.3056325,0,1,0
469,1.62,200,30.41,4408.8482380000005,0,0,0
470,3.95,200,36.16,12863.87634,0,0,1
471,1.68,125,35.73,2796.973172,0,0,0
472,2.04,90,33.95,2954.1808920000003,0,0,1
473,3.86,125,14.98,4441.915118999999,0,0,0
474,4.74,125,22.72,5217.458913,0,0,0
475,2.55,125,19.6,3968.5088960000003,0,1,0
476,3.61,63,20.02,2909.253738,0,0,0
477,2.13,200,21.16,5225.774206,0,0,1
478,3.2,90,32.7,3913.868207,0,1,0
479,3.73,90,18.42,2974.7828329999998,0,0,1
480,3.32,90,36.71,4052.423168,0,0,0
481,3.2,63,15.49,2431.0698399999997,0,0,0
482,2.12,63,23.95,1898.1989,0,0,0
483,2.4,63,23.79,1737.43822,0,0,1
484,2.62,450,13.57,13481.6661,0,0,0
485,3.44,50,10.32,1596.433722,0,0,1
486,2.17,50,26.11,1369.647383,0,0,0
487,4.1,90,29.51,5122.424043,0,0,0
488,2.92,63,30.4,2563.669116,0,1,0
489,3.1,200,12.7,5338.087487,0,0,1
490,1.38,90,18.41,1496.987828,0,0,0
491,3.99,125,41.18,8334.180148000001,0,0,0
492,4.17,200,43.71,13552.181209999999,0,0,0
493,2.52,63,36.48,2143.872959,0,0,0
494,2.91,450,15.09,12732.95619,0,1,0
495,1.96,90,48.08,3152.5685320000002,0,1,0
496,2.82,63,27.92,2258.371193,0,0,1
497,2.2,125,20.94,3496.6818,0,1,0
498,4.47,125,25.22,7832.577406999999,0,0,0
499,2.15,125,27.82,4418.629676,0,1,0
500,3.03,63,32.74,2504.4580579999997,0,0,0
501,2.0,63,15.79,1548.917692,0,0,0
502,2.11,90,22.47,2074.469853,0,1,0
503,4.08,63,14.36,2497.251065,0,1,0
504,3.26,315,35.86,12625.16157,0,0,0
505,1.92,90,29.08,2115.600575,0,1,0
506,2.28,200,31.65,6408.189081,0,0,0
507,1.98,63,33.35,1726.0657629999998,0,1,0
508,3.93,63,24.22,3583.2098960000003,0,0,0
509,1.94,125,15.27,2578.639344,0,0,1
510,4.09,250,19.72,12163.345370000001,0,0,0
511,4.1,125,13.76,4506.131559,0,0,0
512,2.58,250,17.22,6885.457617,0,1,0
513,4.57,90,30.25,4953.7919329999995,0,1,0
514,2.26,90,41.4,3030.671476,0,1,0
515,1.99,90,26.56,2131.847647,0,1,0
516,3.79,63,47.92,4234.886002,0,1,0
517,3.59,250,18.74,10902.53373,0,0,0
518,2.88,90,32.59,2782.92716,0,0,0
519,2.82,450,15.54,13226.20291,0,0,1
520,1.55,200,32.26,3727.1705939999997,0,1,0
521,2.82,200,29.58,7963.966037,0,0,0
522,2.48,63,26.15,2154.533738,0,0,0
523,2.17,63,17.14,1770.8940940000002,0,1,0
524,3.64,63,19.98,3013.600935,0,0,0
525,3.03,125,12.19,3475.721111,0,0,0
526,1.86,50,25.14,1040.512165,0,1,0
527,2.86,90,22.11,2879.2845399999997,0,0,1
528,3.17,90,31.77,4230.442633,0,0,0
529,1.25,200,18.54,2528.56554,0,1,0
530,3.83,63,29.56,3358.6854719999997,0,0,0
531,2.31,50,26.86,1474.1560539999998,0,1,0
532,4.36,90,17.31,4680.0926340000005,0,1,0
533,3.77,63,14.77,2224.347643,0,0,1
534,2.09,200,33.13,7288.045045,0,1,0
535,2.94,50,33.59,2333.875431,0,0,0
536,3.08,63,29.69,2148.01882,0,0,0
537,2.39,63,43.25,2309.025233,0,0,1
538,2.32,315,32.64,13253.86082,0,0,0
539,3.42,90,28.64,4809.105004,0,0,0
540,2.66,200,28.77,7730.826875,0,0,0
541,1.43,125,23.46,2131.7209940000002,0,0,0
542,1.74,200,14.3,3857.962123,0,0,1
543,1.59,63,15.48,1009.0884779999999,0,0,1
544,2.65,63,15.09,1726.905347,0,1,0
545,2.01,125,18.12,2484.515175,0,1,0
546,3.02,90,44.52,4902.194257,0,0,0
547,2.2,50,23.27,1230.452419,0,1,0
548,1.82,63,36.4,2258.305516,0,1,0
549,4.47,125,34.39,8543.782065000001,0,0,0
550,2.48,450,28.11,14096.99741,0,0,0
551,2.67,90,29.09,3674.0053380000004,0,0,0
552,4.36,90,16.37,3784.4876090000002,0,1,0
553,2.79,90,19.83,2587.5797820000003,0,0,1
554,1.65,125,34.5,3350.422291,0,0,0
555,2.08,50,11.73,1028.331578,0,0,0
556,3.45,125,27.01,6536.036,0,0,1
557,2.22,315,48.22,13559.88689,0,0,0
558,1.55,90,15.16,1495.6851470000001,0,1,0
559,2.35,90,31.92,2858.478842,0,1,0
560,2.13,200,15.94,4817.382558,0,1,0
